Date,Open,High,Low,Close,Adj Close,Volume
05-05-08,4670,4771,4300,4334.649902,4162.01709,9573
12-05-08,4261.5,4349,4050.050049,4216.25,4048.332275,7154
19-05-08,4216.25,4420,4173,4189.399902,4022.553223,5457
26-05-08,4105.600098,4210,3910.050049,4067.300049,3905.315674,6011
02-06-08,4098,4138.950195,3900,3928.949951,3772.476074,5952
09-06-08,3900,3998,3750,3917.5,3761.481689,10450
16-06-08,3902,4499.950195,3751,3778.600098,3628.113525,9455
23-06-08,3745,3748,3425,3471.699951,3333.436035,6498
30-06-08,3420.199951,3490,3050,3151.600098,3026.084229,7041
07-07-08,3200,3388,3140,3306.399902,3174.719238,5101
14-07-08,3295,3300,3100,3199.800049,3072.364746,4268
21-07-08,3200,3775,3150,3396.899902,3261.615723,12518
28-07-08,3392,3496.949951,3305,3345.100098,3211.878174,4773
04-08-08,3398.5,3471,3315,3393,3257.87085,8870
11-08-08,3400,3670,3355,3590.199951,3450.27124,26194
18-08-08,3619,3722,3463,3538.550049,3400.634521,18335
25-08-08,3600,3609.949951,3424.550049,3559.550049,3420.815918,9499
01-09-08,3590,3625,3465,3518.949951,3381.798096,4587
08-09-08,3590,3600,3401,3440.649902,3306.549316,4311
15-09-08,3381.100098,3395,3061,3224.600098,3098.920166,6454
22-09-08,3241,3350,3020,3041,2922.476807,7711
29-09-08,3100,3175,2800,2864.100098,2752.470947,12491
06-10-08,2840,2840,2312.25,2360.350098,2268.355225,10299
13-10-08,2400,2670,2315.399902,2394.899902,2301.558105,7974
20-10-08,2450,2450,2030,2078.350098,1997.345947,7683
27-10-08,2050,2110.050049,1800,2020.199951,1941.462158,26953
03-11-08,2118.949951,2249,1978,2026.650024,1947.660767,12156
10-11-08,2052,2080,1900,1912.699951,1840.78064,6614
17-11-08,1899,1915,1651.099976,1707.400024,1643.200195,9262
24-11-08,1673.199951,1740,1600,1692.550049,1628.908936,3054
01-12-08,1676,1794.949951,1651,1735.599976,1670.3396,3851
